model_name,train_setting,noise_type,eval_text_variant,n_samples,n_train,accuracy,macro_precision,macro_recall,macro_f1,f1_clean,f1_offensive,f1_hate,support_clean,support_offensive,support_hate
svm_saved_baseline,original_artifact,clean,before_norm,6680,,0.8631736526946108,0.6521715421456385,0.6347336966583793,0.642683046845136,0.9321380546839982,0.4323671497584541,0.5635439360929557,5548,444,688
svm_saved_baseline,original_artifact,no_accent,before_norm,6680,,0.7973053892215569,0.5203815569923832,0.5406520026255192,0.5287556165630255,0.8928310168251646,0.2753128555176337,0.4181229773462783,5548,444,688
svm_saved_baseline,original_artifact,repeated_char,before_norm,6680,,0.823502994011976,0.47970195852126046,0.37084479203470333,0.3753332248736563,0.904626691164189,0.06072106261859583,0.16065192083818394,5548,444,688
svm_saved_baseline,original_artifact,special_char,before_norm,6680,,0.8486526946107784,0.6124118142559721,0.5582310987569116,0.580484163425171,0.9223035541053003,0.30851063829787234,0.5106382978723404,5548,444,688
svm_saved_baseline,original_artifact,masked_word,before_norm,6680,,0.850748502994012,0.6182844927165121,0.5635325765228013,0.5861431597982425,0.923606210303458,0.31788079470198677,0.5169424743892829,5548,444,688
svm_saved_baseline,original_artifact,slang_teencode,before_norm,6680,,0.8601796407185629,0.6430917008000914,0.6315681501575015,0.6368305885366535,0.9310220944853601,0.42431466030989273,0.555155010814708,5548,444,688
svm_saved_baseline,original_artifact,mixed_noise,before_norm,6680,,0.7679640718562875,0.40514234696289964,0.37108826583663523,0.371508286858401,0.8748038360941587,0.11347517730496454,0.12624584717607973,5548,444,688
svm_note08,original,clean,before_norm,6680,24046.0,0.865568862275449,0.6573112382529305,0.6225722922835648,0.6369848714692066,0.9338090990187333,0.41237113402061853,0.5647743813682679,5548,444,688
svm_note08,original,no_accent,before_norm,6680,24046.0,0.8044910179640719,0.530166720422916,0.5366292343633854,0.5305209475485081,0.8973660308810173,0.27715355805243447,0.4170432537120723,5548,444,688
svm_note08,original,repeated_char,before_norm,6680,24046.0,0.8244011976047905,0.46631425834488455,0.36493919599920505,0.36487730265022233,0.9052736815796051,0.04,0.14935822637106183,5548,444,688
svm_note08,original,special_char,before_norm,6680,24046.0,0.8522455089820359,0.6164599665901466,0.5432050977135315,0.5694684816111063,0.9248291571753986,0.27405247813411077,0.5095238095238095,5548,444,688
svm_note08,original,masked_word,before_norm,6680,24046.0,0.8531437125748503,0.618010970545171,0.5461120744577176,0.5718763723411465,0.925396686245288,0.27405247813411077,0.516179952644041,5548,444,688
svm_note08,original,slang_teencode,before_norm,6680,24046.0,0.8625748502994012,0.6447829647749633,0.6174428335043515,0.6290569831168993,0.9332499329818604,0.3994943109987358,0.5544267053701016,5548,444,688
svm_note08,original,mixed_noise,before_norm,6680,24046.0,0.7657185628742516,0.3834039318932305,0.36589283109504106,0.36235307746290024,0.8739759456161758,0.12016293279022404,0.09292035398230089,5548,444,688
svm_note08,augmented_mixed,clean,before_norm,6680,168322.0,0.854191616766467,0.629705052665294,0.6055899694231547,0.6164744607520661,0.9268161915825217,0.3886838868388684,0.5339233038348082,5548,444,688
svm_note08,augmented_mixed,no_accent,before_norm,6680,168322.0,0.8474550898203593,0.6145964083776141,0.6098931127099668,0.611899412561233,0.9229522952295229,0.38207547169811323,0.5306704707560628,5548,444,688
svm_note08,augmented_mixed,repeated_char,before_norm,6680,168322.0,0.8610778443113772,0.6437283131132576,0.6286835199579789,0.6351744624506069,0.9316223977027998,0.4126984126984127,0.5612025769506085,5548,444,688
