model,train_setting,noise_type,norm_stage,macro_f1,accuracy,source_file,macro_precision,macro_recall,weighted_precision,weighted_recall,weighted_f1,clean_precision,clean_recall,clean_f1,clean_support,offensive_precision,offensive_recall,offensive_f1,offensive_support,hate_precision,hate_recall,hate_f1,hate_support,train_setting_clean
SVM,after_norm,clean,before_norm,0.6404903607921131,0.8663173652694611,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,after_norm
SVM,before_norm,clean,before_norm,0.6369848714692066,0.865568862275449,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,before_norm
SVM,after_norm,masked_word,before_norm,0.5689801550199417,0.8465568862275449,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,after_norm
SVM,before_norm,masked_word,before_norm,0.5718763723411465,0.8531437125748503,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,before_norm
SVM,after_norm,mixed_noise,before_norm,0.510552406073331,0.8017964071856287,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,after_norm
SVM,before_norm,mixed_noise,before_norm,0.3623530774629002,0.7657185628742516,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,before_norm
SVM,after_norm,no_accent,before_norm,0.5303122712180438,0.8053892215568862,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,after_norm
SVM,before_norm,no_accent,before_norm,0.5305209475485081,0.8044910179640719,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,before_norm
SVM,after_norm,repeated_char,before_norm,0.6364106129629175,0.8648203592814371,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,after_norm
SVM,before_norm,repeated_char,before_norm,0.3648773026502223,0.8244011976047905,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,before_norm
SVM,after_norm,slang_teencode,before_norm,0.6402504820126995,0.8661676646706586,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,after_norm
SVM,before_norm,slang_teencode,before_norm,0.6290569831168993,0.8625748502994012,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,before_norm
SVM,after_norm,special_char,before_norm,0.6404903607921131,0.8663173652694611,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,after_norm
